,user_ids
1037,A-5891-2012
1038,K-5556-2013
1039,B-3708-2012
1040,E-8003-2010
1041,N-3990-2017
1042,B-1806-2012
1043,A-5651-2013
1044,A-5113-2016
1045,C-6568-2008
1046,B-2304-2009
1047,O-8435-2014
1048,O-3570-2018
1049,H-5328-2017
1050,S-5354-2017
1051,D-9112-2015
1052,F-2367-2014
1053,L-8898-2013
1054,F-6298-2011
1055,B-9366-2015
1056,F-5229-2017
1057,F-2036-2011
1058,A-9847-2017
1059,C-3225-2013
1060,J-5812-2013
1061,P-9186-2014
1062,A-8631-2018
1063,B-6066-2016
1064,O-1995-2018
1065,A-2934-2008
1066,F-8694-2018
1067,H-8678-2012
1068,A-6926-2016
1069,F-8023-2011
1070,E-2623-2011
1071,P-7749-2016
1072,C-6316-2011
1073,A-8479-2008
1074,M-4475-2016
1075,G-5794-2013
1076,M-3073-2017
1077,E-3288-2015
1078,J-7864-2015
1079,D-2615-2012
1080,P-3339-2018
1081,K-1116-2015
1082,F-1602-2011
1083,H-6589-2016
1084,I-1149-2012
1085,E-5735-2011
1086,R-4729-2016
1087,C-3827-2012
1088,A-8733-2009
1089,H-1241-2012
1090,K-7955-2013
1091,E-2269-2013
1092,B-6848-2015
1093,R-1631-2017
1094,O-7109-2016
1095,C-8192-2011
1096,V-9830-2017
1097,P-4821-2018
1098,B-2420-2015
1099,G-7377-2011
1100,I-5530-2013
1101,E-5058-2014
1102,B-9400-2009
1103,C-1668-2014
1104,K-5136-2015
1105,F-2228-2010
1106,K-5618-2013
1107,R-6837-2017
1108,O-9965-2015
1109,B-5471-2008
1110,F-9239-2014
1111,C-7287-2015
1112,F-9730-2015
1113,A-5969-2008
1114,L-1605-2016
1115,D-4163-2018
1116,A-9713-2016
1117,A-9381-2008
1118,F-2902-2011
1119,O-2582-2016
1120,D-3104-2011
1121,C-9158-2016
1122,B-7320-2014
1123,D-2940-2012
1124,C-6334-2011
1125,J-9883-2012
1126,N-7885-2013
1127,A-9862-2016
1128,K-6330-2012
1129,M-8285-2015
1130,A-8190-2009
1131,G-2973-2012
1132,B-4844-2012
1133,M-6567-2018
1134,F-4018-2012
1135,F-2106-2011
1136,G-3815-2013
1137,D-7346-2012
1138,G-6447-2010
1139,K-4524-2015
1140,E-9149-2012
1141,F-4023-2014
1142,E-5561-2015
1143,H-1064-2011
1144,F-4537-2010
1145,L-2401-2018
1146,N-6189-2018
1147,M-5405-2017
1148,F-4358-2016
1149,B-8029-2011
1150,B-2569-2018
1151,C-8595-2012
1152,A-7790-2016
1153,E-6331-2012
1154,J-3747-2016
1155,I-1206-2014
1156,H-9675-2017
1157,J-4094-2015
1158,B-1069-2010
1159,J-1602-2016
1160,M-1015-2018
1161,U-6969-2017
1162,M-2536-2014
1163,A-4141-2018
1164,D-1272-2017
1165,A-6476-2008
1166,B-6793-2014
1167,B-9659-2009
1168,C-6352-2012
1169,D-2168-2016
1170,E-7163-2017
1171,I-6437-2013
1172,I-1973-2013
1173,I-5230-2017
1174,H-4812-2016
1175,I-5345-2014
1176,G-4682-2017
1177,C-7821-2011
1178,H-4694-2016
1179,A-5179-2012
1180,E-7311-2013
1181,E-5282-2010
1182,A-2013-2013
1183,G-1428-2016
1184,B-3775-2010
1185,E-8507-2011
1186,E-4194-2013
1187,K-7016-2017
1188,I-4136-2013
1189,M-9933-2015
1190,F-8092-2015
1191,F-3679-2010
1192,A-8575-2009
1193,Q-2475-2015
1194,B-5391-2016
1195,V-5263-2017
1196,C-3544-2014
1197,C-2285-2009
1198,K-9680-2013
1199,L-7847-2014
1200,B-7292-2012
1201,A-4295-2012
1202,D-8657-2012
1203,B-2513-2008
1204,K-2726-2012
1205,P-4432-2017
1206,R-6873-2017
1207,E-2624-2011
1208,A-1312-2014
1209,C-9151-2017
1210,D-7431-2016
1211,K-8079-2016
1212,T-8636-2017
1213,L-5718-2013
1214,O-1337-2017
1215,P-8343-2017
1216,H-1127-2018
1217,A-1073-2011
1218,H-5176-2016
1219,F-3405-2016
1220,G-7169-2015
1221,M-2782-2015
1222,V-1532-2017
1223,A-1178-2018
1224,B-3628-2008
1225,D-1551-2011
1226,C-9392-2011
1227,H-7119-2016
1228,G-3236-2010
1229,D-8355-2012
1230,Q-1445-2015
1231,B-3716-2012
1232,A-8176-2009
1233,B-6690-2016
1234,I-5685-2013
1235,A-8523-2010
1236,A-1240-2018
1237,N-4442-2016
1238,O-2447-2018
1239,N-4298-2015
1240,E-7719-2012
1241,J-6170-2013
1242,C-6895-2015
1243,E-7499-2016
1244,B-3236-2012
1245,C-3217-2018
1246,N-6279-2018
1247,J-6760-2017
1248,O-1158-2016
1249,E-7175-2017
1250,B-6857-2008
1251,A-6299-2011
1252,A-7533-2010
1253,B-4371-2013
1254,J-3172-2018
1255,F-9407-2013
1256,F-7528-2010
1257,M-6279-2013
1258,A-2280-2016
1259,A-7830-2008
1260,J-8925-2017
1261,A-9801-2010
1262,F-7145-2010
1263,G-3167-2011
1264,C-7125-2011
1265,J-6738-2016
1266,I-7994-2012
1267,G-7118-2018
1268,A-5422-2017
1269,A-8521-2016
1270,B-7343-2008
1271,E-6248-2012
1272,A-4537-2013
1273,B-9618-2017
1274,J-7590-2017
1275,O-9534-2015
1276,O-1326-2018
1277,A-8913-2009
1278,P-1892-2016
1279,K-4774-2015
1280,E-5599-2012
1281,M-1745-2013
1282,H-3798-2011
1283,R-1907-2016
1284,B-3641-2016
1285,R-2032-2017
1286,O-3378-2017
1287,F-5206-2018
1288,C-2316-2017
1289,H-6958-2018
1290,P-1786-2016
1291,G-3128-2017
1292,M-6086-2016
1293,J-6934-2016
1294,G-4993-2013
1295,A-6761-2008
1296,B-5078-2018
1297,B-5109-2014
1298,A-6103-2012
1299,H-9547-2014
1300,J-6385-2015
1301,I-7200-2012
1302,N-6771-2015
1303,M-3906-2017
1304,I-9213-2014
1305,D-3581-2012
1306,F-9488-2018
1307,A-2474-2016
1308,B-3716-2008
1309,D-8164-2016
1310,F-9432-2013
1311,C-6712-2008
1312,P-4485-2014
1313,G-9919-2015
1314,F-7762-2017
1315,E-6828-2016
1316,H-7982-2012
1317,G-6434-2015
1318,I-5712-2012
1319,O-5519-2017
1320,C-2320-2008
1321,B-2219-2009
1322,G-6461-2010
1323,F-4945-2013
1324,D-9478-2013
1325,F-6460-2011
1326,L-9934-2017
1327,I-6230-2017
1328,L-3762-2017
1329,A-5336-2009
1330,P-4272-2018
1331,K-7060-2012
1332,L-1833-2013
1333,C-3402-2014
1334,B-2096-2016
1335,A-4644-2012
1336,N-1702-2014
1337,E-2788-2018
1338,I-4152-2018
1339,C-3936-2018
1340,F-6773-2018
1341,A-7187-2008
1342,C-1579-2014
1343,P-4246-2016
1344,B-9281-2008
1345,B-2512-2008
1346,B-6470-2018
1347,A-3581-2010
1348,G-3109-2011
1349,A-3508-2009
1350,K-7328-2012
1351,J-2725-2012
1352,Q-7394-2017
1353,C-9830-2018
1354,H-4700-2011
1355,P-9055-2014
1356,M-6862-2013
1357,D-4548-2009
1358,N-1456-2016
